HHID,DV,From,To,T_hr,T_min,Wt_time,AV_time,Trn_time,Wlk_time,Onboard,Prk_time,Prk_fee,AV_dist,PAV_opr,Fare
3,Y =1.0,1,7,9.0,48.514285714285506,6,4.485714285714287,,,,,,2270,,4.405
3,Y =1.0,2,5,13.0,20.265714285714125,6,9.734285714285715,,,,,,4820,,8.23
3,Y =1.0,35,44,15.0,0.0,6,9.611428571428572,,,,,,4900,,8.350000000000001
3,Y =1.0,39,45,17.0,9.52500000000282,6,4.6,,,,,,2310,,4.465
3,Z =1.0,34,6,14.0,30.0,3,,7.199999999999999,12.75,,,,,,1.75
3,Z =1.0,36,39,16.0,52.95000000000164,3,,9.200000000000001,4.375,,,,,,1.75
3,Z =1.0,7,4,10.0,1.224999999999909,3,,16.4,9.375,,,,,,1.75
3,H[1] = 1.0,0,1,3.0,0.0,0,0,,,,,,0,,
3,H[1] = 1.0,1,7,9.0,48.514285714285506,6,4.485714285714287,,,,,,2270,,4.405
3,H[1] = 1.0,4,34,10.0,30.0,0,0,,,,,,0,,
3,H[1] = 1.0,6,36,14.0,52.95000000000164,0,0,,,,,,0,,
3,H[1] = 1.0,7,4,10.0,1.224999999999909,3,,16.4,9.375,,,,,,1.75
3,H[1] = 1.0,34,6,14.0,30.0,3,,7.199999999999999,12.75,,,,,,1.75
3,H[1] = 1.0,36,39,16.0,52.95000000000164,3,,9.200000000000001,4.375,,,,,,1.75
3,H[1] = 1.0,39,45,17.0,9.52500000000282,6,4.6,,,,,,2310,,4.465
3,H[1] = 1.0,45,49,17.0,20.125000000003183,0,0,,,,,,0,,
3,H[2] = 1.0,0,2,3.0,0.0,0,0,,,,,,0,,
3,H[2] = 1.0,2,5,13.0,20.265714285714125,6,9.734285714285715,,,,,,4820,,8.23
3,H[2] = 1.0,5,35,14.0,0.0,0,0,,,,,,0,,
3,H[2] = 1.0,35,44,15.0,0.0,6,9.611428571428572,,,,,,4900,,8.350000000000001
3,H[2] = 1.0,44,49,15.0,15.611428571428519,0,0,,,,,,0,,
HH cost,47.77008571428591,,,,,,,,,,,,,,
Runtime,0.61,,,,,,,,,,,,,,
Activities,3,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
PAVwt,1.9099388737231492e-13,,,,,,,,,,,,,,
PAViv,4.375771428571428,,,,,,,,,,,,,,
PAVop,0.0,,,,,,,,,,,,,,
PAVpk,0.0,,,,,,,,,,,,,,
SAVwt,3.84,,,,,,,,,,,,,,
SAViv,1.421571428571429,,,,,,,,,,,,,,
SAVfb,4.0,,,,,,,,,,,,,,
SAVfd,21.45,,,,,,,,,,,,,,
TRNwk,5.83,,,,,,,,,,,,,,
TRNwt,1.08,,,,,,,,,,,,,,
TRNiv,0.5227428571428571,,,,,,,,,,,,,,
TRNfr,5.25,,,,,,,,,,,,,,
